K,hits,expected,fold,p_hyper
10,3,0.05099302200751476,58.83157894736842,1.4903308185695265e-05
20,3,0.10198604401502952,29.41578947368421,0.00013647575654953897
50,5,0.2549651100375738,19.610526315789475,5.3451048234013624e-06
100,7,0.5099302200751477,13.727368421052633,7.412470191943775e-07
200,15,1.0198604401502953,14.707894736842105,6.731484438723736e-14
