rank,chemical_id,chemical_name,ensemble_score,is_known_GBM_therapeutic,anti_neoplastic,n_targets
978,D000098860,Tirzepatide,-1.1493221521377563,False,False,10
979,C006820,bromperidol,-1.1516611576080322,False,False,7
980,D003981,Diazoxide,-1.1522771120071411,False,False,25
981,D000077597,Vildagliptin,-1.1525660753250122,False,False,8
982,C005458,methyl isobutyl ketone,-1.1537524461746216,False,False,1
983,D002990,Clobetasol,-1.1559630632400513,False,False,12
984,D014223,Triamterene,-1.1574825048446655,False,False,19
985,D008788,Metolazone,-1.161479115486145,False,False,8
986,D002744,Chlorpheniramine,-1.1623342037200928,False,False,11
987,C111827,brinzolamide,-1.1651030778884888,False,False,8
988,C100286,methsuximide,-1.1660786867141724,False,False,3
989,C000611335,eteplirsen,-1.167724609375,False,False,1
990,D011217,Practolol,-1.1695431470870972,False,False,5
991,D000804,Angiotensin II,-1.1759554147720337,False,False,5
992,D053590,Interleukin 1 Receptor Antagonist Protein,-1.176504373550415,False,True,17
993,C004704,cyclobenzaprine,-1.1793311834335327,False,False,10
994,D004143,Dioctyl Sulfosuccinic Acid,-1.1794252395629883,False,False,8
995,D017828,Rifabutin,-1.1800364255905151,False,False,5
996,D000068581,Tadalafil,-1.1840218305587769,False,False,4
997,C528449,carglumic acid,-1.1853482723236084,False,False,2
998,C105050,tegaserod,-1.1857194900512695,False,False,12
999,D000078328,Felbamate,-1.1861639022827148,False,False,23
1000,D000077443,Acamprosate,-1.1879786252975464,False,False,26
1001,D018170,Sumatriptan,-1.188488483428955,False,False,21
1002,C105051,ganaxolone,-1.1894627809524536,False,False,18
1003,C000626319,umbralisib,-1.1903010606765747,False,False,4
1004,D008747,Methylcellulose,-1.193346381187439,False,False,2
1005,D013738,Testolactone,-1.1949925422668457,False,True,4
1006,D008733,Methoxyflurane,-1.196475863456726,False,False,26
1007,C031242,trimeprazine tartrate,-1.1998454332351685,False,False,4
1008,C030298,malic acid,-1.2004400491714478,False,False,6
1009,D004394,Dydrogesterone,-1.2019914388656616,False,False,15
1010,D013972,Thyrotropin,-1.20224130153656,False,False,5
1011,D006221,Halothane,-1.202567219734192,False,False,42
1012,D000069559,Loteprednol Etabonate,-1.20417058467865,False,False,5
1013,C000625635,brexanolone,-1.205042839050293,False,False,21
1014,D000069583,Pregabalin,-1.2056113481521606,False,False,25
1015,D014217,Troleandomycin,-1.205669641494751,False,False,11
1016,C000588473,letermovir,-1.206011176109314,False,False,1
1017,C004616,chloroprocaine,-1.207484245300293,False,False,17
1018,C008316,maltol,-1.208391785621643,False,False,1
1019,C050701,atipamezole,-1.2087774276733398,False,False,3
1020,D010882,Piperonyl Butoxide,-1.2095087766647339,False,False,15
1021,C023754,tizanidine,-1.2143445014953613,False,False,7
1022,C000711671,enoxaparin sodium,-1.215607762336731,False,False,4
1023,C000718240,belumosudil,-1.2167922258377075,False,False,12
1024,C047723,benzophenone,-1.2179999351501465,False,False,8
1025,D002065,Buspirone,-1.220636248588562,False,False,14
1026,D013392,Sucralfate,-1.2224801778793335,False,False,4
1027,C010843,aloxiprin,-1.2256354093551636,False,False,2
1028,D015016,Yohimbine,-1.2260740995407104,False,False,20
1029,C549647,olodaterol,-1.2262569665908813,False,False,4
1030,D003894,Deamino Arginine Vasopressin,-1.2293919324874878,False,False,11
1031,C546535,Palovarotene,-1.2337578535079956,False,False,3
1032,D000099226,Dolutegravir,-1.234961986541748,False,False,10
1033,D058766,Levoleucovorin,-1.2356457710266113,False,True,1
1034,D020682,Cefixime,-1.2373963594436646,False,False,11
1035,D010624,Phenelzine,-1.2397578954696655,False,False,21
1036,D000086,Acetazolamide,-1.2409676313400269,False,False,22
1037,C060285,lacidipine,-1.2444348335266113,False,False,11
1038,D004737,Enflurane,-1.245137333869934,False,False,31
1039,D000068557,Olmesartan Medoxomil,-1.2456520795822144,False,False,7
1040,C000621806,asciminib,-1.2469383478164673,False,True,2
1041,D000068679,Emtricitabine,-1.2486780881881714,False,False,8
1042,D008723,Methohexital,-1.2539182901382446,False,False,21
1043,D008795,Metronidazole,-1.2569880485534668,False,False,8
1044,D000077602,Tolvaptan,-1.2576338052749634,False,False,13
1045,D014147,Tramadol,-1.2595537900924683,False,False,31
1046,D012977,Sodium Nitrite,-1.2604937553405762,False,False,14
1047,D004400,Dyphylline,-1.2613168954849243,False,False,7
1048,D003348,Cortisone,-1.262242078781128,False,False,17
1049,D014812,Vitamin K,-1.269323468208313,False,False,14
1050,D003506,Cyclofenil,-1.2710751295089722,False,False,7
1051,C061072,piroxicam-beta-cyclodextrin,-1.2746338844299316,False,False,13
1052,D010630,Phenindione,-1.2759758234024048,False,False,5
1053,D014740,Vidarabine,-1.2794703245162964,False,False,3
1054,D013411,Sulfadiazine,-1.2798629999160767,False,False,12
1055,D010649,Phenylalanine,-1.2802242040634155,False,False,5
1056,D000527,Alprostadil,-1.2815953493118286,False,False,31
1057,C451734,etravirine,-1.2840992212295532,False,False,4
1058,C006723,benzyl benzoate,-1.2845206260681152,False,False,9
1059,D004949,Estazolam,-1.285799503326416,False,False,26
1060,C011581,picotamide,-1.2861729860305786,False,False,4
1061,D000078306,Clobazam,-1.2880940437316895,False,False,24
1062,C058302,moexipril,-1.2922331094741821,False,False,3
1063,D002752,Chlorthalidone,-1.2924412488937378,False,False,10
1064,C000628402,baloxavir,-1.2927995920181274,False,False,1
1065,C041226,Terazosin,-1.2928366661071777,False,True,19
1066,C000719268,zilucoplan,-1.2935696840286255,False,False,9
1067,D000077425,Fondaparinux,-1.29374361038208,False,False,3
1068,C043482,moxonidine,-1.295499324798584,False,False,9
1069,C428112,peginterferon beta-1a,-1.295662522315979,False,False,3
1070,D004329,Droperidol,-1.2972502708435059,False,False,7
1071,D002434,Cefadroxil,-1.2990193367004395,False,False,6
1072,C000609116,thonzonium bromide,-1.299186110496521,False,False,10
1073,D000069447,Tiotropium Bromide,-1.2996197938919067,False,False,14
1074,D006096,Gramicidin,-1.3000690937042236,False,False,6
1075,D012978,Sodium Oxybate,-1.3009872436523438,False,False,4
1076,C106791,telithromycin,-1.302181601524353,False,False,7
1077,D011464,Epoprostenol,-1.3033045530319214,False,False,10
1078,C528327,fedratinib,-1.3056237697601318,False,True,13
1079,D015725,Fluconazole,-1.3058758974075317,True,False,15
1080,D006916,5-Hydroxytryptophan,-1.3066591024398804,False,False,7
1081,C027556,histamine phosphate,-1.3087782859802246,False,False,3
1082,C053083,bromfenac,-1.309797763824463,False,False,19
1083,D008617,Mephenytoin,-1.3098535537719727,False,False,15
1084,C036596,bifonazole,-1.3101426362991333,False,False,14
1085,D010394,Penbutolol,-1.3103752136230469,False,False,14
1086,C063533,dofetilide,-1.31108558177948,False,False,12
1087,D002998,Clonazepam,-1.3117204904556274,False,False,26
1088,D015649,Pentostatin,-1.313459873199463,False,True,3
1089,D017370,Interleukin-11,-1.3142269849777222,False,False,10
1090,D009526,Nialamide,-1.3148952722549438,False,False,7
1091,C014477,diflorasone,-1.3195747137069702,False,False,5
1092,D000068717,Glatiramer Acetate,-1.322252631187439,False,False,7
1093,C505730,apremilast,-1.3232979774475098,False,False,10
1094,D011413,Propantheline,-1.324177861213684,False,False,12
1095,C017309,febantel,-1.3241780996322632,False,False,3
1096,D015313,Cefotetan,-1.3282383680343628,False,False,10
1097,D002329,Carmine,-1.3299362659454346,False,False,16
1098,D009627,Nomifensine,-1.3302645683288574,False,False,14
1099,D008696,Methandrostenolone,-1.3307791948318481,False,False,3
1100,D005438,Fludrocortisone,-1.3317776918411255,False,False,20
1101,D012312,Ritodrine,-1.3318657875061035,False,False,6
1102,D010076,Oxazepam,-1.3324013948440552,False,False,25
1103,D009643,Norfloxacin,-1.3358293771743774,False,False,15
1104,C032005,fumaric acid,-1.336844563484192,False,False,8
1105,C000589490,omaveloxolone,-1.3375409841537476,False,False,2
1106,D019379,Teriparatide,-1.3378219604492188,False,False,4
1107,C076170,mizolastine,-1.3380470275878906,False,False,5
1108,C088327,plerixafor,-1.3393158912658691,True,False,11
1109,D014044,Tolbutamide,-1.339485764503479,False,False,17
1110,C063449,zileuton,-1.3417104482650757,False,False,23
1111,D000068882,Paliperidone Palmitate,-1.3419300317764282,False,False,24
1112,C530299,vorapaxar,-1.3423770666122437,False,False,3
1113,D000069604,Dabigatran,-1.3425747156143188,False,False,20
1114,C059451,lornoxicam,-1.34345543384552,False,False,7
1115,D008653,Mesoridazine,-1.3439654111862183,False,False,10
1116,C430592,ixabepilone,-1.3455859422683716,False,False,21
1117,C542595,riociguat,-1.3457260131835938,False,False,7
1118,D000112,Acetyldigitoxins,-1.3458852767944336,False,False,9
1119,D002792,Cholestyramine Resin,-1.3478561639785767,False,False,3
1120,D005446,Fluocinolone Acetonide,-1.3490406274795532,False,False,4
1121,D002435,Cefamandole,-1.3499674797058105,False,False,3
1122,C000601108,encorafenib,-1.3509992361068726,False,True,9
1123,D010862,Pilocarpine,-1.3523225784301758,False,False,31
1124,C009760,mequinol,-1.3526216745376587,False,False,4
