K,hits,expected,fold,p_hyper
10,1,0.19176800748362957,5.214634146341464,0.17637780979698106
20,1,0.38353601496725914,2.607317073170732,0.3222721563189421
50,8,0.9588400374181478,8.343414634146342,2.6733084401795837e-06
100,18,1.9176800748362957,9.386341463414634,2.0666983808733598e-14
200,24,3.8353601496725913,6.257560975609756,1.9979622268627903e-15
