K,hits,expected,fold,p_hyper
10,1,0.19176800748362957,5.214634146341464,0.17637780979698106
20,2,0.38353601496725914,5.214634146341464,0.05483383494335633
50,9,0.9588400374181478,9.386341463414634,1.9791922812288557e-07
100,18,1.9176800748362957,9.386341463414634,2.0666983808733598e-14
200,26,3.8353601496725913,6.779024390243903,6.880014352205348e-18
