K,hits,expected,fold,p_hyper
10,1,0.19176800748362957,5.214634146341464,0.17637780979698106
20,2,0.38353601496725914,5.214634146341464,0.05483383494335633
50,7,0.9588400374181478,7.30048780487805,3.050873843074876e-05
100,16,1.9176800748362957,8.343414634146342,6.213179501018256e-12
200,27,3.8353601496725913,7.039756097560976,3.437667169903183e-19
